"HomeScore Units Export"
""
"Property=.all"
"Property","Status","Unit Number","Year"
"1822 Park","Occupied No Notice","""01""","2020"
"1822 Park","Occupied No Notice","""02""","2020"
"1822 Park","Occupied No Notice","""03""","2020"
"1822 Park","Occupied No Notice","""04""","2020"
"1822 Park","Occupied No Notice","""05""","2020"
"1822 Park","Occupied No Notice","""06""","2020"
"1822 Park","Occupied No Notice","""21""","2020"
"1822 Park","Occupied No Notice","""22""","2020"
"1822 Park","Occupied No Notice","""23""","2020"
"1822 Park","Occupied No Notice","""24""","2020"
"1822 Park","Occupied No Notice","""25""","2020"
"1822 Park","Occupied No Notice","""26""","2020"
"1822 Park","Occupied No Notice","""31""","2020"
"1822 Park","Vacant Rented Ready","""32""","2020"
"1822 Park","Occupied No Notice","""33""","2020"
"1822 Park","Occupied No Notice","""34""","2020"
"1822 Park","Occupied No Notice","""35""","2020"
"1822 Park","Occupied No Notice","""36""","2020"
"Alliance Addition","Occupied No Notice","""050""","2020"
"Alliance Addition","Occupied No Notice","""051""","2020"
"Alliance Addition","Occupied No Notice","""052""","2020"
"Alliance Addition","Occupied No Notice","""053""","2020"
"Alliance Addition","Occupied No Notice","""101""","2020"
"Alliance Addition","Occupied No Notice","""102""","2020"
"Alliance Addition","Vacant Unrented Not Ready","""103""","2020"
"Alliance Addition","Occupied No Notice","""104""","2020"
"Alliance Addition","Occupied No Notice","""150""","2020"
"Alliance Addition","Occupied No Notice","""151""","2020"
"Alliance Addition","Occupied No Notice","""152""","2020"
"Alliance Addition","Occupied No Notice","""153""","2020"
"Alliance Addition","Occupied No Notice","""154""","2020"
"Alliance Addition","Occupied No Notice","""155""","2020"
"Alliance Addition","Occupied No Notice","""157""","2020"
"Alliance Addition","Notice Unrented","""159""","2020"
"Alliance Addition","Occupied No Notice","""161""","2020"
"Alliance Addition","Occupied No Notice","""201""","2020"
"Alliance Addition","Occupied No Notice","""202""","2020"
"Alliance Addition","Occupied No Notice","""203""","2020"
"Alliance Addition","Occupied No Notice","""204""","2020"
"Alliance Addition","Occupied No Notice","""250""","2020"
"Alliance Addition","Notice Unrented","""251""","2020"
"Alliance Addition","Occupied No Notice","""252""","2020"
"Alliance Addition","Occupied No Notice","""253""","2020"
"Alliance Addition","Occupied No Notice","""254""","2020"
"Alliance Addition","Occupied No Notice","""255""","2020"
"Alliance Addition","Occupied No Notice","""256""","2020"
"Alliance Addition","Occupied No Notice","""257""","2020"
"Alliance Addition","Occupied No Notice","""258""","2020"
"Alliance Addition","Occupied No Notice","""259""","2020"
"Alliance Addition","Occupied No Notice","""260""","2020"
"Alliance Addition","Occupied No Notice","""261""","2020"
"Alliance Addition","Occupied No Notice","""301""","2020"
"Alliance Addition","Occupied No Notice","""302""","2020"
"Alliance Addition","Occupied No Notice","""350""","2020"
"Alliance Addition","Occupied No Notice","""351""","2020"
"Alliance Addition","Occupied No Notice","""352""","2020"
"Alliance Addition","Occupied No Notice","""353""","2020"
"Alliance Addition","Occupied No Notice","""354""","2020"
"Alliance Addition","Occupied No Notice","""355""","2020"
"Alliance Addition","Occupied No Notice","""356""","2020"
"Alliance Addition","Occupied No Notice","""357""","2020"
"Alliance Addition","Vacant Rented Not Ready","""358""","2020"
"Alliance Addition","Occupied No Notice","""359""","2020"
"Alliance Addition","Occupied No Notice","""360""","2020"
"Alliance Addition","Occupied No Notice","""361""","2020"
"Alliance Addition","Occupied No Notice","""450""","2020"
"Alliance Addition","Occupied No Notice","""451""","2020"
"Alliance Addition","Occupied No Notice","""452""","2020"
"Alliance Addition","Vacant Unrented Not Ready","""453""","2020"
"Alliance Addition","Occupied No Notice","""454""","2020"
"Alliance Addition","Notice Unrented","""455""","2020"
"Alliance Addition","Occupied No Notice","""456""","2020"
"Alliance Addition","Occupied No Notice","""457""","2020"
"Alliance Addition","Occupied No Notice","""458""","2020"
"Alliance Addition","Occupied No Notice","""459""","2020"
"Alliance Addition","Occupied No Notice","""460""","2020"
"Alliance Addition","Occupied No Notice","""461""","2020"
"Alliance Addition","Occupied No Notice","""718""","2020"
"Alliance Addition","Occupied No Notice","""726""","2020"
"Alliance Apartments","Occupied No Notice","""000""","2020"
"Alliance Apartments","Occupied No Notice","""002""","2020"
"Alliance Apartments","Occupied No Notice","""004""","2020"
"Alliance Apartments","Occupied No Notice","""006""","2020"
"Alliance Apartments","Notice Unrented","""008""","2020"
"Alliance Apartments","Occupied No Notice","""012""","2020"
"Alliance Apartments","Occupied No Notice","""014""","2020"
"Alliance Apartments","Occupied No Notice","""016""","2020"
"Alliance Apartments","Occupied No Notice","""017""","2020"
"Alliance Apartments","Vacant Rented Not Ready","""018""","2020"
"Alliance Apartments","Occupied No Notice","""019""","2020"
"Alliance Apartments","Occupied No Notice","""020""","2020"
"Alliance Apartments","Occupied No Notice","""038""","2020"
"Alliance Apartments","Occupied No Notice","""040""","2020"
"Alliance Apartments","Occupied No Notice","""042""","2020"
"Alliance Apartments","Occupied No Notice","""100""","2020"
"Alliance Apartments","Occupied No Notice","""101""","2020"
"Alliance Apartments","Occupied No Notice","""102""","2020"
"Alliance Apartments","Occupied No Notice","""103""","2020"
"Alliance Apartments","Occupied No Notice","""104""","2020"
"Alliance Apartments","Occupied No Notice","""106""","2020"
"Alliance Apartments","Occupied No Notice","""108""","2020"
"Alliance Apartments","Occupied No Notice","""110""","2020"
"Alliance Apartments","Occupied No Notice","""112""","2020"
"Alliance Apartments","Occupied No Notice","""113""","2020"
"Alliance Apartments","Occupied No Notice","""114""","2020"
"Alliance Apartments","Occupied No Notice","""115""","2020"
"Alliance Apartments","Occupied No Notice","""116""","2020"
"Alliance Apartments","Occupied No Notice","""117""","2020"
"Alliance Apartments","Occupied No Notice","""118""","2020"
"Alliance Apartments","Occupied No Notice","""119""","2020"
"Alliance Apartments","Occupied No Notice","""120""","2020"
"Alliance Apartments","Notice Unrented","""123""","2020"
"Alliance Apartments","Occupied No Notice","""124""","2020"
"Alliance Apartments","Occupied No Notice","""125""","2020"
"Alliance Apartments","Occupied No Notice","""126""","2020"
"Alliance Apartments","Occupied No Notice","""127""","2020"
"Alliance Apartments","Occupied No Notice","""128""","2020"
"Alliance Apartments","Occupied No Notice","""129""","2020"
"Alliance Apartments","Occupied No Notice","""130""","2020"
"Alliance Apartments","Occupied No Notice","""131""","2020"
"Alliance Apartments","Occupied No Notice","""132""","2020"
"Alliance Apartments","Occupied No Notice","""133""","2020"
"Alliance Apartments","Occupied No Notice","""135""","2020"
"Alliance Apartments","Occupied No Notice","""138""","2020"
"Alliance Apartments","Occupied No Notice","""139""","2020"
"Alliance Apartments","Occupied No Notice","""140""","2020"
"Alliance Apartments","Occupied No Notice","""141""","2020"
"Alliance Apartments","Occupied No Notice","""142""","2020"
"Alliance Apartments","Occupied No Notice","""143""","2020"
"Alliance Apartments","Occupied No Notice","""145""","2020"
"Alliance Apartments","Occupied No Notice","""200""","2020"
"Alliance Apartments","Occupied No Notice","""201""","2020"
"Alliance Apartments","Occupied No Notice","""202""","2020"
"Alliance Apartments","Occupied No Notice","""203""","2020"
"Alliance Apartments","Occupied No Notice","""204""","2020"
"Alliance Apartments","Occupied No Notice","""206""","2020"
"Alliance Apartments","Occupied No Notice","""208""","2020"
"Alliance Apartments","Occupied No Notice","""210""","2020"
"Alliance Apartments","Occupied No Notice","""212""","2020"
"Alliance Apartments","Vacant Rented Not Ready","""213""","2020"
"Alliance Apartments","Vacant Rented Not Ready","""214""","2020"
"Alliance Apartments","Occupied No Notice","""215""","2020"
"Alliance Apartments","Occupied No Notice","""216""","2020"
"Alliance Apartments","Occupied No Notice","""217""","2020"
"Alliance Apartments","Notice Unrented","""218""","2020"
"Alliance Apartments","Notice Unrented","""219""","2020"
"Alliance Apartments","Vacant Unrented Ready","""220""","2020"
"Alliance Apartments","Occupied No Notice","""223""","2020"
"Alliance Apartments","Occupied No Notice","""224""","2020"
"Alliance Apartments","Occupied No Notice","""225""","2020"
"Alliance Apartments","Occupied No Notice","""226""","2020"
"Alliance Apartments","Occupied No Notice","""227""","2020"
"Alliance Apartments","Occupied No Notice","""228""","2020"
"Alliance Apartments","Occupied No Notice","""229""","2020"
"Alliance Apartments","Occupied No Notice","""230""","2020"
"Alliance Apartments","Notice Unrented","""231""","2020"
"Alliance Apartments","Occupied No Notice","""232""","2020"
"Alliance Apartments","Occupied No Notice","""233""","2020"
"Alliance Apartments","Occupied No Notice","""235""","2020"
"Alliance Apartments","Occupied No Notice","""238""","2020"
"Alliance Apartments","Occupied No Notice","""239""","2020"
"Alliance Apartments","Occupied No Notice","""240""","2020"
"Alliance Apartments","Notice Unrented","""241""","2020"
"Alliance Apartments","Occupied No Notice","""242""","2020"
"Alliance Apartments","Occupied No Notice","""243""","2020"
"Alliance Apartments","Occupied No Notice","""245""","2020"
"Alliance Apartments","Occupied No Notice","""300""","2020"
"Alliance Apartments","Occupied No Notice","""301""","2020"
"Alliance Apartments","Occupied No Notice","""302""","2020"
"Alliance Apartments","Occupied No Notice","""303""","2020"
"Alliance Apartments","Occupied No Notice","""304""","2020"
"Alliance Apartments","Occupied No Notice","""306""","2020"
"Alliance Apartments","Occupied No Notice","""308""","2020"
"Alliance Apartments","Notice Unrented","""310""","2020"
"Alliance Apartments","Occupied No Notice","""312""","2020"
"Alliance Apartments","Occupied No Notice","""313""","2020"
"Alliance Apartments","Occupied No Notice","""314""","2020"
"Alliance Apartments","Occupied No Notice","""315""","2020"
"Alliance Apartments","Occupied No Notice","""316""","2020"
"Alliance Apartments","Occupied No Notice","""317""","2020"
"Alliance Apartments","Notice Unrented","""318""","2020"
"Alliance Apartments","Occupied No Notice","""319""","2020"
"Alliance Apartments","Occupied No Notice","""320""","2020"
"Alliance Apartments","Occupied No Notice","""323""","2020"
"Alliance Apartments","Occupied No Notice","""324""","2020"
"Alliance Apartments","Occupied No Notice","""325""","2020"
"Alliance Apartments","Occupied No Notice","""326""","2020"
"Alliance Apartments","Occupied No Notice","""327""","2020"
"Alliance Apartments","Occupied No Notice","""328""","2020"
"Alliance Apartments","Occupied No Notice","""329""","2020"
"Alliance Apartments","Occupied No Notice","""330""","2020"
"Alliance Apartments","Occupied No Notice","""331""","2020"
"Alliance Apartments","Occupied No Notice","""332""","2020"
"Alliance Apartments","Occupied No Notice","""333""","2020"
"Alliance Apartments","Occupied No Notice","""335""","2020"
"Alliance Apartments","Occupied No Notice","""338""","2020"
"Alliance Apartments","Occupied No Notice","""339""","2020"
"Alliance Apartments","Occupied No Notice","""340""","2020"
"Alliance Apartments","Occupied No Notice","""341""","2020"
"Alliance Apartments","Occupied No Notice","""342""","2020"
"Alliance Apartments","Occupied No Notice","""343""","2020"
"Alliance Apartments","Occupied No Notice","""345""","2020"
"Archdale Apartments","Occupied No Notice","""101""","2020"
"Archdale Apartments","Vacant Unrented Not Ready","""102""","2020"
"Archdale Apartments","Occupied No Notice","""103""","2020"
"Archdale Apartments","Occupied No Notice","""104""","2020"
"Archdale Apartments","Occupied No Notice","""105""","2020"
"Archdale Apartments","Occupied No Notice","""106""","2020"
"Archdale Apartments","Occupied No Notice","""201""","2020"
"Archdale Apartments","Occupied No Notice","""202""","2020"
"Archdale Apartments","Occupied No Notice","""203""","2020"
"Archdale Apartments","Vacant Unrented Not Ready","""204""","2020"
"Archdale Apartments","Occupied No Notice","""205""","2020"
"Archdale Apartments","Occupied No Notice","""206""","2020"
